"id","genome","taxonomy","sample","infant"
"1","conN1_003_000G1_concoct_10.fa","Clostridium baratii str. Sullivan","N1_003_000G1","N1_003"
"2","conN1_003_000G1_concoct_12.fa","Streptococcus lutetiensis 033","N1_003_000G1","N1_003"
"3","conN1_003_000G1_concoct_13.fa","Clostridium baratii str. Sullivan","N1_003_000G1","N1_003"
"4","conN1_003_000G1_concoct_19.fa","Staphylococcus warneri SG1","N1_003_000G1","N1_003"
"5","conN1_003_000G1_concoct_22.fa","Enterococcus casseliflavus EC20","N1_003_000G1","N1_003"
"6","conN1_003_000G1_concoct_23.fa","Clostridium baratii str. Sullivan","N1_003_000G1","N1_003"
"7","conN1_003_000G1_concoct_24.fa","Enterococcus faecium","N1_003_000G1","N1_003"
"8","conN1_003_000G1_concoct_26.fa","Pelosinus fermentans JBW45","N1_003_000G1","N1_003"
"9","conN1_003_000G1_concoct_3.fa","Corynebacterium simulans","N1_003_000G1","N1_003"
"10","conN1_003_000G1_concoct_42.fa","Clostridium perfringens","N1_003_000G1","N1_003"
"11","conN1_003_000G1_concoct_43.fa","Propionibacterium acnes","N1_003_000G1","N1_003"
"12","conN1_003_000G1_concoct_48.fa","[Eubacterium rectale] ATCC 33656","N1_003_000G1","N1_003"
"13","conN1_003_000G1_concoct_5.fa","Staphylococcus aureus","N1_003_000G1","N1_003"
"14","conN1_003_011G1_concoct_15.fa","Enterococcus faecalis ATCC 29212","N1_003_011G1","N1_003"
"15","conN1_003_019G1_concoct_7.fa","Propionibacterium avidum 44067","N1_003_019G1","N1_003"
"16","conN1_003_019G1_concoct_8.fa","Pantoea sp. PSNIH2","N1_003_019G1","N1_003"
"17","conN1_003_023G1_concoct_0.fa","Klebsiella pneumoniae","N1_003_023G1","N1_003"
"18","conN1_003_023G1_concoct_10.fa","Staphylococcus epidermidis","N1_003_023G1","N1_003"
"19","conN1_003_028G1_concoct_6.fa","Dermabacter vaginalis","N1_003_028G1","N1_003"
"20","conN1_003_039G1_concoct_16.fa","Mobiluncus curtisii ATCC 43063","N1_003_039G1","N1_003"
"21","conN1_003_052G1_concoct_12.fa","Actinomyces meyeri","N1_003_052G1","N1_003"
"22","conN1_003_052G1_concoct_8.fa","Atopobium parvulum DSM 20469","N1_003_052G1","N1_003"
"23","conN1_003_086G1_concoct_12.fa","Escherichia coli","N1_003_086G1","N1_003"
"24","conN1_003_086G1_concoct_21.fa","Clostridioides difficile","N1_003_086G1","N1_003"
"25","conN1_003_086G1_concoct_22.fa","Veillonella parvula DSM 2008","N1_003_086G1","N1_003"
"26","conN1_003_086G1_concoct_3.fa","Clostridium butyricum","N1_003_086G1","N1_003"
"27","conN1_004_000G1_concoct_19.fa","Clostridium botulinum","N1_004_000G1","N1_004"
"28","conN1_004_000G1_concoct_1.fa","Staphylococcus epidermidis","N1_004_000G1","N1_004"
"29","conN1_004_000G1_concoct_23.fa","Trueperella pyogenes","N1_004_000G1","N1_004"
"30","conN1_004_000G1_concoct_31.fa","Atopobium parvulum DSM 20469","N1_004_000G1","N1_004"
"31","conN1_004_000G1_concoct_9.fa","Pseudomonas aeruginosa","N1_004_000G1","N1_004"
"32","conN1_004_009G1_concoct_7.fa","Staphylococcus haemolyticus","N1_004_009G1","N1_004"
"33","conN1_004_015G1_concoct_0.fa","Clostridium baratii str. Sullivan","N1_004_015G1","N1_004"
"34","conN1_004_016G1_concoct_4.fa","Veillonella parvula DSM 2008","N1_004_016G1","N1_004"
"35","conN1_004_018G1_concoct_1.fa","Clostridioides difficile","N1_004_018G1","N1_004"
"36","conN1_004_021G1_concoct_11.fa","Clostridioides difficile","N1_004_021G1","N1_004"
"37","conN1_004_021G1_concoct_21.fa","Enterococcus hirae","N1_004_021G1","N1_004"
"38","conN1_004_026G1_concoct_10.fa","Streptococcus salivarius","N1_004_026G1","N1_004"
"39","conN1_004_026G1_concoct_2.fa","Leclercia adecarboxylata","N1_004_026G1","N1_004"
"40","conN1_004_026G1_concoct_6.fa","Clostridioides difficile","N1_004_026G1","N1_004"
"41","conN1_008_000G1_concoct_10.fa","Veillonella parvula DSM 2008","N1_008_000G1","N1_008"
"42","conN1_008_000G1_concoct_23.fa","Clostridioides difficile","N1_008_000G1","N1_008"
"43","conN1_008_000G1_concoct_5.fa","Pseudomonas aeruginosa","N1_008_000G1","N1_008"
"44","conN1_008_010G1_concoct_13.fa","Escherichia coli","N1_008_010G1","N1_008"
"45","conN1_008_028G1_concoct_0.fa","Enterococcus faecalis","N1_008_028G1","N1_008"
"46","conN1_008_028G1_concoct_6.fa","Staphylococcus epidermidis","N1_008_028G1","N1_008"
"47","conN1_008_028G1_concoct_9.fa","Klebsiella pneumoniae subsp. pneumoniae KPNIH27","N1_008_028G1","N1_008"
"48","conN1_008_031G1_concoct_33.fa","Bacteroides ovatus","N1_008_031G1","N1_008"
"49","conN1_009_000G1_concoct_17.fa","Veillonella parvula DSM 2008","N1_009_000G1","N1_009"
"50","conN1_009_000G1_concoct_22.fa","Clostridium perfringens","N1_009_000G1","N1_009"
"51","conN1_009_000G1_concoct_2.fa","Clostridium butyricum","N1_009_000G1","N1_009"
"52","conN1_009_000G1_concoct_35.fa","Clostridioides difficile","N1_009_000G1","N1_009"
"53","conN1_009_000G1_concoct_36.fa","Roseburia hominis A2-183","N1_009_000G1","N1_009"
"54","conN1_009_000G1_concoct_39.fa","Veillonella parvula DSM 2008","N1_009_000G1","N1_009"
"55","conN1_009_000G1_concoct_40.fa","Neisseria meningitidis","N1_009_000G1","N1_009"
"56","conN1_009_006G1_concoct_25.fa","Staphylococcus lugdunensis","N1_009_006G1","N1_009"
"57","conN1_009_006G1_concoct_45.fa","Enterococcus faecalis","N1_009_006G1","N1_009"
"58","conN1_009_007G1_concoct_17.fa","Staphylococcus haemolyticus","N1_009_007G1","N1_009"
"59","conN1_009_007G1_concoct_18.fa","Clostridium perfringens","N1_009_007G1","N1_009"
"60","conN1_009_008G1_concoct_6.fa","Streptococcus agalactiae","N1_009_008G1","N1_009"
"61","conN1_009_011G1_concoct_9.fa","Staphylococcus epidermidis","N1_009_011G1","N1_009"
"62","conN1_009_015G1_concoct_2.fa","Clostridium butyricum","N1_009_015G1","N1_009"
"63","conN1_009_015G1_concoct_7.fa","Citrobacter freundii","N1_009_015G1","N1_009"
"64","conN1_009_016G1_concoct_10.fa","Clostridium baratii str. Sullivan","N1_009_016G1","N1_009"
"65","conN1_009_019G1_concoct_3.fa","Roseburia hominis A2-183","N1_009_019G1","N1_009"
"66","conN1_009_020G1_concoct_1.fa","Klebsiella oxytoca","N1_009_020G1","N1_009"
"67","conN1_009_024G1_concoct_9.fa","Clostridium butyricum","N1_009_024G1","N1_009"
"68","conN1_009_038G1_concoct_10.fa","Streptococcus salivarius","N1_009_038G1","N1_009"
"69","conN1_009_038G1_concoct_18.fa","Enterococcus faecalis D32","N1_009_038G1","N1_009"
"70","conN1_009_045G1_concoct_8.fa","Haemophilus parainfluenzae T3T1","N1_009_045G1","N1_009"
"71","conN1_009_045G1_concoct_9.fa","Clostridioides difficile","N1_009_045G1","N1_009"
"72","conN1_011_000G1_concoct_2.fa","Pantoea vagans C9-1","N1_011_000G1","N1_011"
"73","conN1_011_000G1_concoct_46.fa","Propionibacterium avidum 44067","N1_011_000G1","N1_011"
"74","conN1_011_011G1_concoct_7.fa","Staphylococcus epidermidis","N1_011_011G1","N1_011"
"75","conN1_011_013G1_concoct_1.fa","Veillonella parvula DSM 2008","N1_011_013G1","N1_011"
"76","conN1_011_025G1_concoct_5.fa","Enterococcus faecalis","N1_011_025G1","N1_011"
"77","conN1_011_051G1_concoct_10.fa","[Enterobacter] aerogenes","N1_011_051G1","N1_011"
"78","conN1_014_000G1_concoct_10.fa","Clostridium baratii str. Sullivan","N1_014_000G1","N1_014"
"79","conN1_014_000G1_concoct_12.fa","Corynebacterium simulans","N1_014_000G1","N1_014"
"80","conN1_014_000G1_concoct_13.fa","Finegoldia magna ATCC 29328","N1_014_000G1","N1_014"
"81","conN1_014_000G1_concoct_14.fa","Corynebacterium sp. ATCC 6931","N1_014_000G1","N1_014"
"82","conN1_014_000G1_concoct_17.fa","Serratia marcescens","N1_014_000G1","N1_014"
"83","conN1_014_000G1_concoct_18.fa","Staphylococcus haemolyticus","N1_014_000G1","N1_014"
"84","conN1_014_000G1_concoct_22.fa","Clostridioides difficile","N1_014_000G1","N1_014"
"85","conN1_014_000G1_concoct_27.fa","Streptococcus mitis","N1_014_000G1","N1_014"
"86","conN1_014_006G1_concoct_0.fa","Pseudomonas aeruginosa","N1_014_006G1","N1_014"
"87","conN1_014_006G1_concoct_6.fa","Dermabacter vaginalis","N1_014_006G1","N1_014"
"88","conN1_014_006G1_concoct_9.fa","Paenibacillus sp. Y412MC10","N1_014_006G1","N1_014"
"89","conN1_014_007G1_concoct_12.fa","Staphylococcus epidermidis","N1_014_007G1","N1_014"
"90","conN1_014_008G1_concoct_14.fa","Staphylococcus warneri SG1","N1_014_008G1","N1_014"
"91","conN1_014_009G1_concoct_2.fa","Gemella sp. oral taxon 928","N1_014_009G1","N1_014"
"92","conN1_014_010G1_concoct_19.fa","Enterococcus faecalis D32","N1_014_010G1","N1_014"
"93","conN1_014_012G1_concoct_16.fa","Veillonella parvula DSM 2008","N1_014_012G1","N1_014"
"94","conN1_014_015G1_concoct_3.fa","Escherichia coli","N1_014_015G1","N1_014"
"95","conN1_014_016G1_concoct_4.fa","Staphylococcus epidermidis","N1_014_016G1","N1_014"
"96","conN1_017_000G1_concoct_26.fa","Megasphaera elsdenii 14-14","N1_017_000G1","N1_017"
"97","conN1_017_009G1_concoct_13.fa","Corynebacterium simulans","N1_017_009G1","N1_017"
"98","conN1_017_009G1_concoct_15.fa","Sneathia amnii","N1_017_009G1","N1_017"
"99","conN1_017_010G1_concoct_19.fa","Staphylococcus epidermidis","N1_017_010G1","N1_017"
"100","conN1_017_010G1_concoct_4.fa","Enterobacter cloacae complex sp. 35734","N1_017_010G1","N1_017"
"101","conN1_017_011G1_concoct_13.fa","Klebsiella pneumoniae","N1_017_011G1","N1_017"
"102","conN1_017_011G1_concoct_9.fa","Anaerococcus prevotii DSM 20548","N1_017_011G1","N1_017"
"103","conN1_018_000G1_concoct_11.fa","Pseudomonas aeruginosa","N1_018_000G1","N1_018"
"104","conN1_018_000G1_concoct_15.fa","Propionibacterium avidum 44067","N1_018_000G1","N1_018"
"105","conN1_018_000G1_concoct_16.fa","Clostridium perfringens","N1_018_000G1","N1_018"
"106","conN1_018_000G1_concoct_2.fa","Clostridioides difficile","N1_018_000G1","N1_018"
"107","conN1_018_000G1_concoct_6.fa","Clostridium butyricum","N1_018_000G1","N1_018"
"108","conN1_018_010G1_concoct_10.fa","Staphylococcus epidermidis","N1_018_010G1","N1_018"
"109","conN1_018_011G1_concoct_3.fa","[Enterobacter] aerogenes","N1_018_011G1","N1_018"
"110","conN1_018_014G1_concoct_6.fa","Enterobacter hormaechei subsp. oharae","N1_018_014G1","N1_018"
"111","conN1_018_018G1_concoct_5.fa","Enterococcus faecalis D32","N1_018_018G1","N1_018"
"112","conN1_018_019G1_concoct_3.fa","Finegoldia magna ATCC 29328","N1_018_019G1","N1_018"
"113","conN1_018_037G1_concoct_10.fa","Klebsiella oxytoca","N1_018_037G1","N1_018"
"114","conN1_019_000G1_concoct_0.fa","Bacteroides ovatus","N1_019_000G1","N1_019"
"115","conN1_019_000G1_concoct_24.fa","Clostridium butyricum","N1_019_000G1","N1_019"
"116","conN1_019_000G1_concoct_28.fa","Staphylococcus aureus subsp. aureus","N1_019_000G1","N1_019"
"117","conN1_019_000G1_concoct_2.fa","Enterococcus gallinarum","N1_019_000G1","N1_019"
"118","conN1_019_000G1_concoct_33.fa","Clostridium sporogenes","N1_019_000G1","N1_019"
"119","conN1_019_000G1_concoct_34.fa","Clostridium baratii str. Sullivan","N1_019_000G1","N1_019"
"120","conN1_019_000G1_concoct_8.fa","Clostridioides difficile","N1_019_000G1","N1_019"
"121","conN1_019_012G1_concoct_13.fa","Corynebacterium simulans","N1_019_012G1","N1_019"
"122","conN1_019_012G1_concoct_4.fa","Haemophilus parainfluenzae T3T1","N1_019_012G1","N1_019"
"123","conN1_019_013G1_concoct_5.fa","Propionibacterium avidum 44067","N1_019_013G1","N1_019"
"124","conN1_019_018G1_concoct_10.fa","Klebsiella oxytoca","N1_019_018G1","N1_019"
"125","conN1_019_020G1_concoct_10.fa","Megasphaera elsdenii 14-14","N1_019_020G1","N1_019"
"126","conN1_019_023G1_concoct_10.fa","Klebsiella oxytoca","N1_019_023G1","N1_019"
"127","conN1_019_024G1_concoct_7.fa","Enterococcus faecalis V583","N1_019_024G1","N1_019"
"128","conN1_019_026G1_concoct_5.fa","Staphylococcus epidermidis","N1_019_026G1","N1_019"
"129","conN1_019_026G1_concoct_6.fa","Enterococcus faecium","N1_019_026G1","N1_019"
"130","conN1_019_038G1_concoct_0.fa","Enterococcus faecalis","N1_019_038G1","N1_019"
"131","conN1_019_057G1_concoct_6.fa","Veillonella parvula DSM 2008","N1_019_057G1","N1_019"
"132","conN1_019_057G1_concoct_9.fa","Streptococcus anginosus","N1_019_057G1","N1_019"
"133","conN1_021_000G1_concoct_24.fa","Megasphaera elsdenii 14-14","N1_021_000G1","N1_021"
"134","conN1_021_000G1_concoct_2.fa","Propionibacterium acnes","N1_021_000G1","N1_021"
"135","conN1_021_000G1_concoct_31.fa","Streptococcus anginosus","N1_021_000G1","N1_021"
"136","conN1_021_000G1_concoct_5.fa","Clostridium sporogenes","N1_021_000G1","N1_021"
"137","conN1_021_012G1_concoct_9.fa","Haemophilus parainfluenzae T3T1","N1_021_012G1","N1_021"
"138","conN1_021_013G1_concoct_10.fa","Corynebacterium simulans","N1_021_013G1","N1_021"
"139","conN1_021_013G1_concoct_14.fa","Anaerococcus prevotii DSM 20548","N1_021_013G1","N1_021"
"140","conN1_021_013G1_concoct_1.fa","Staphylococcus aureus subsp. aureus","N1_021_013G1","N1_021"
"141","conN1_021_015G1_concoct_7.fa","Staphylococcus epidermidis","N1_021_015G1","N1_021"
"142","conN1_021_022G1_concoct_8.fa","Propionibacterium avidum 44067","N1_021_022G1","N1_021"
"143","conN1_021_023G1_concoct_2.fa","Klebsiella oxytoca","N1_021_023G1","N1_021"
"144","conN1_021_027G1_concoct_1.fa","Staphylococcus epidermidis","N1_021_027G1","N1_021"
"145","conN1_021_030G1_concoct_2.fa","Enterococcus faecalis D32","N1_021_030G1","N1_021"
"146","conN1_023_000G1_concoct_13.fa","Clostridium perfringens","N1_023_000G1","N1_023"
"147","conN1_023_000G1_concoct_17.fa","Slackia heliotrinireducens DSM 20476","N1_023_000G1","N1_023"
"148","conN1_023_000G1_concoct_23.fa","Eggerthella lenta DSM 2243","N1_023_000G1","N1_023"
"149","conN1_023_000G1_concoct_29.fa","Proteus mirabilis HI4320","N1_023_000G1","N1_023"
"150","conN1_023_000G1_concoct_32.fa","Staphylococcus epidermidis","N1_023_000G1","N1_023"
"151","conN1_023_000G1_concoct_35.fa","Pseudomonas aeruginosa","N1_023_000G1","N1_023"
"152","conN1_023_000G1_concoct_3.fa","Clostridioides difficile","N1_023_000G1","N1_023"
"153","conN1_023_000G1_concoct_5.fa","Clostridium butyricum","N1_023_000G1","N1_023"
"154","conN1_023_007G1_concoct_9.fa","synthetic construct","N1_023_007G1","N1_023"
"155","conN1_023_013G1_concoct_10.fa","Klebsiella oxytoca","N1_023_013G1","N1_023"
"156","conN1_023_013G1_concoct_12.fa","Haemophilus parainfluenzae T3T1","N1_023_013G1","N1_023"
"157","conN1_023_013G1_concoct_6.fa","Staphylococcus aureus subsp. aureus","N1_023_013G1","N1_023"
"158","conN1_023_015G1_concoct_9.fa","Enterococcus faecalis","N1_023_015G1","N1_023"
"159","conN1_023_019G1_concoct_3.fa","Klebsiella pneumoniae subsp. pneumoniae KPNIH27","N1_023_019G1","N1_023"
"160","conN1_023_029G1_concoct_14.fa","Escherichia coli","N1_023_029G1","N1_023"
"161","conN1_023_029G1_concoct_16.fa","Veillonella parvula DSM 2008","N1_023_029G1","N1_023"
"162","conN1_023_029G1_concoct_18.fa","Bifidobacterium longum","N1_023_029G1","N1_023"
"163","conN1_023_029G1_concoct_19.fa","Finegoldia magna ATCC 29328","N1_023_029G1","N1_023"
"164","conN1_023_034G1_concoct_10.fa","Bacteroides ovatus","N1_023_034G1","N1_023"
"165","conN1_023_034G1_concoct_11.fa","Bifidobacterium breve","N1_023_034G1","N1_023"
"166","conN1_023_034G1_concoct_3.fa","Anaerococcus prevotii DSM 20548","N1_023_034G1","N1_023"
"167","conN1_023_042G1_concoct_11.fa","Propionibacterium avidum 44067","N1_023_042G1","N1_023"
"168","conN1_023_042G1_concoct_18.fa","Peptoniphilus sp. 1-1","N1_023_042G1","N1_023"
"169","conN1_023_050G1_concoct_0.fa","Streptococcus suis","N1_023_050G1","N1_023"
"170","conN1_023_050G1_concoct_12.fa","Lactobacillus rhamnosus","N1_023_050G1","N1_023"
"171","conN1_023_050G1_concoct_13.fa","Finegoldia magna ATCC 29328","N1_023_050G1","N1_023"
"172","conN1_023_055G1_concoct_10.fa","Megasphaera elsdenii 14-14","N1_023_055G1","N1_023"
"173","conN1_023_055G1_concoct_23.fa","Roseburia hominis A2-183","N1_023_055G1","N1_023"
"174","conN1_023_055G1_concoct_8.fa","Enterococcus faecium","N1_023_055G1","N1_023"
"175","conN2_031_000G1_concoct_20.fa","Eggerthella lenta DSM 2243","N2_031_000G1","N2_031"
"176","conN2_031_000G1_concoct_35.fa","Streptococcus agalactiae","N2_031_000G1","N2_031"
"177","conN2_031_000G1_concoct_36.fa","Paenibacillus riograndensis SBR5","N2_031_000G1","N2_031"
"178","conN2_031_000G1_concoct_39.fa","Veillonella parvula DSM 2008","N2_031_000G1","N2_031"
"179","conN2_031_010G1_concoct_1.fa","Klebsiella pneumoniae","N2_031_010G1","N2_031"
"180","conN2_031_014G1_concoct_1.fa","Staphylococcus epidermidis","N2_031_014G1","N2_031"
"181","conN2_031_020G1_concoct_3.fa","Anaerococcus prevotii DSM 20548","N2_031_020G1","N2_031"
"182","conN2_031_023G1_concoct_4.fa","Enterococcus faecalis","N2_031_023G1","N2_031"
"183","conN2_035_000G1_concoct_12.fa","Bifidobacterium dentium JCM 1195 = DSM 20436","N2_035_000G1","N2_035"
"184","conN2_035_000G1_concoct_1.fa","Cronobacter sakazakii","N2_035_000G1","N2_035"
"185","conN2_035_000G1_concoct_30.fa","Bifidobacterium scardovii JCM 12489 = DSM 13734","N2_035_000G1","N2_035"
"186","conN2_035_000G1_concoct_34.fa","Eggerthella lenta DSM 2243","N2_035_000G1","N2_035"
"187","conN2_035_000G1_concoct_4.fa","Actinomyces sp. oral taxon 414","N2_035_000G1","N2_035"
"188","conN2_035_000G1_concoct_5.fa","Klebsiella pneumoniae","N2_035_000G1","N2_035"
"189","conN2_035_012G1_concoct_3.fa","Enterococcus faecalis","N2_035_012G1","N2_035"
"190","conN2_035_016G1_concoct_9.fa","Staphylococcus epidermidis","N2_035_016G1","N2_035"
"191","conN2_035_020G1_concoct_10.fa","Serratia marcescens","N2_035_020G1","N2_035"
"192","conN2_035_020G1_concoct_12.fa","Streptococcus agalactiae","N2_035_020G1","N2_035"
"193","conN2_035_025G1_concoct_0.fa","Veillonella parvula DSM 2008","N2_035_025G1","N2_035"
"194","conN2_035_025G1_concoct_22.fa","Atopobium parvulum DSM 20469","N2_035_025G1","N2_035"
"195","conN2_035_025G1_concoct_23.fa","Clostridioides difficile","N2_035_025G1","N2_035"
"196","conN2_035_032G1_concoct_14.fa","Bifidobacterium bifidum","N2_035_032G1","N2_035"
"197","conN2_035_032G1_concoct_6.fa","Propionibacterium avidum 44067","N2_035_032G1","N2_035"
"198","conN2_035_046G1_concoct_17.fa","Veillonella parvula DSM 2008","N2_035_046G1","N2_035"
"199","conN2_035_053G1_concoct_10.fa","Escherichia coli","N2_035_053G1","N2_035"
"200","conN2_035_053G1_concoct_15.fa","Clostridium perfringens","N2_035_053G1","N2_035"
"201","conN2_035_053G1_concoct_20.fa","Clostridioides difficile","N2_035_053G1","N2_035"
"202","conN2_038_000G1_concoct_14.fa","Acinetobacter nosocomialis","N2_038_000G1","N2_038"
"203","conN2_038_000G1_concoct_16.fa","Staphylococcus haemolyticus JCSC1435","N2_038_000G1","N2_038"
"204","conN2_038_000G1_concoct_31.fa","Clostridium butyricum","N2_038_000G1","N2_038"
"205","conN2_038_000G1_concoct_35.fa","Fusobacterium nucleatum subsp. polymorphum","N2_038_000G1","N2_038"
"206","conN2_038_000G1_concoct_38.fa","Peptoniphilus sp. 1-1","N2_038_000G1","N2_038"
"207","conN2_038_000G1_concoct_43.fa","Clostridioides difficile","N2_038_000G1","N2_038"
